Dates,Mean
2021-04-23,43.26484848
2021-04-24,48.17264706
2021-04-25,93.60676471
2021-04-26,155.01
2021-04-27,164.8697059
2021-04-28,189.395
2021-04-29,154.7952941
2021-04-30,116.2193939
2021-05-01,72.37030303
2021-05-02,68.74606061
2021-05-03,88.54727273
2021-05-04,66.61911765
2021-05-05,67.29205882
2021-05-06,57.385
2021-05-07,59.3178125
2021-05-08,71.7196875
2021-05-09,55.55666667
2021-05-10,53.11382353
2021-05-11,56.09264706
2021-05-12,41.11323529
2021-05-13,37.53382353
2021-05-14,46.07441176
2021-05-15,47.52264706
2021-05-16,64.92470588
2021-05-17,82.47606061
2021-05-18,24.71939394
2021-05-19,35.09757576
2021-05-20,40.99151515
2021-05-21,31.47484848
2021-05-22,32.62060606
2021-05-23,151.1890909
2021-05-24,56.16484848
2021-05-25,45.415625
2021-05-26,57.44096774
2021-05-27,54.12935484
2021-05-28,31.1328125
2021-05-29,21.16
2021-05-30,27.18125
2021-05-31,44.3915625
2021-06-01,35.7353125
2021-06-02,52.865
2021-06-03,75.61606061
2021-06-04,75.19545455
2021-06-05,45.4728125
2021-06-06,49.3534375
2021-06-07,69.270625
2021-06-08,85.01636364
2021-06-09,65.51909091
2021-06-10,59.19242424
2021-06-11,45.24393939
2021-06-12,35.27606061
2021-06-13,37.25794118
2021-06-14,38.65235294
2021-06-15,34.29117647
2021-06-16,37.23970588
2021-06-17,45.81264706
2021-06-18,27.58941176
2021-06-19,27.02764706
2021-06-20,24.69117647
2021-06-21,37.48617647
2021-06-22,50.60970588
2021-06-23,79.65333333
2021-06-24,52.09181818
2021-06-25,57.24636364
2021-06-26,44.99909091
2021-06-27,75.52757576
2021-06-28,67.5069697
2021-06-29,77.43939394
2021-06-30,69.21727273
2021-07-01,49.69878788
2021-07-02,57.5734375
2021-07-03,38.89757576
2021-07-04,58.38625
2021-07-05,51.48
2021-07-06,47.4303125
2021-07-07,51.6240625
2021-07-08,48.31735294
2021-07-09,45.41735294
2021-07-10,33.22794118
2021-07-11,42.60941176
2021-07-12,32.15294118
2021-07-13,29.74484848
2021-07-14,34.49205882
2021-07-15,42.10090909
2021-07-16,43.39941176
2021-07-17,50.83764706
2021-07-18,33.11676471
2021-07-19,17.61484848
2021-07-20,34.79852941
2021-07-21,39.32
2021-07-22,26.49205882
2021-07-23,33.59470588
2021-07-24,45.77441176
2021-07-25,39.58117647
2021-07-26,49.79117647
